Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
MOORE AUSTRALIA,1004169775,136646156,30112044,beps,06/28/2022,06/27/2023,3767.506193,1,3767.506193,N/A,3767.506193,,,,True,True,,
MOORE AUSTRALIA,1004167157,135540387,41894585,beps,11/22/2021,11/21/2022,2709.207267,1,2709.207267,N/A,2709.207267,,,,False,,True,False
MORRIS COHEN GLEN & CO,1004166029,136022103,41894585,beps,02/28/2022,02/27/2023,4423.651252,1,4423.651252,N/A,4423.651252,,,,False,,True,False
MUNICH HOLDINGS OF AUSTRALASIA PTY,1004036867,135247681,41894585,beps,09/12/2021,09/11/2022,,1,,N/A,,,,,False,,True,False
NEXIA SYDNEY,1005028964,135399035,41894585,beps,10/18/2021,10/17/2022,4025.110102,1,4025.110102,N/A,4025.110102,,,,False,,True,False
ORICA AUSTRALIA PTY LTD,1004140330,135023318,41894585,beps,07/01/2021,06/30/2022,,1,,N/A,,,,,False,,True,False
PETER ZHU & ASSOCIATES,1004174534,135093140,41894585,beps,08/01/2021,07/31/2022,,1,,N/A,,,,,False,,True,False
PKF MELBOURNE,1004135088,136409198,41894585,beps,06/04/2022,06/03/2023,4830.133498,1,4830.133498,N/A,4830.133498,,,,True,True,,
PROSPERITY PERSONAL & CORPORATE,1004195302,133940871,41894585,beps,01/09/2021,01/08/2022,,1,,N/A,,,,,False,,True,False
RABOBANK AUSTRALIA LIMITED,1004164548,135388866,41894585,beps,09/15/2021,09/14/2022,,1,,N/A,,,,,False,,True,False
RICEGROWERS LIMITED,1004181765,136646155,41894585,beps,06/28/2022,06/27/2023,19549.16047,1,19549.16047,N/A,19549.16047,,,,True,True,,
ROTHSAY ACCOUNTING SERVICES PL,1004157118,136522847,41894585,beps,06/23/2022,07/25/2022,,1,,N/A,,,,,False,,,
SAGE ADVISING PTY LTD,1005219989,135218727,41894585,beps,09/04/2021,11/29/2021,,1,,N/A,,,,,False,,True,False
SHAW AND PARTNERS LTD,1005427580,135061574,41894585,beps,07/28/2021,07/27/2022,,1,,N/A,,,,,False,,True,False
STEWART BROWN,1004283294,135944248,41894585,beps,02/09/2022,02/08/2023,2978.585191,1,2978.585191,N/A,2978.585191,,,,False,,True,False
SYMBION PTY LTD,1004168626,135281205,41894585,beps,09/20/2021,09/19/2022,9191.962565,1,9191.962565,N/A,9191.962565,,,,False,,True,False
THE TRUSTEE FOR THE SCS GLOBAL,1005628578,136649195,30112044,beps,07/26/2022,07/25/2023,2862.647949,1,2862.647949,N/A,2862.647949,,,,False,,True,False
TRANSFER PRICING SOLUTIONS PTY LTD,1004921436,135685813,41894585,beps,12/17/2021,12/16/2022,4830.133498,1,4830.133498,N/A,4830.133498,,,,False,,True,False
TRANSFER PRICING SOLUTIONS PTY LTD,1004921436,136702586,30112044,beps,07/06/2022,07/05/2023,26469.65318,1,26469.65318,N/A,26469.65318,,,,False,,True,False
WECONNECT BUSINESS ADVISORY PTY LTD,1005572632,135910391,41894585,beps,02/19/2022,02/18/2023,322.0478943,1,322.0478943,N/A,322.0478943,,,,False,,True,False
WILLIAM BUCK (NZ) LIMITED,1004231198,136316507,30112044,beps,05/10/2022,05/09/2023,6520.158308,1,6520.158308,N/A,6520.158308,,,,True,True,,
WILLIS PARTNERS,1005701392,136227751,41894585,beps,03/09/2022,03/08/2023,3303.055326,1,3303.055326,N/A,3303.055326,,,,False,,True,False
WIS PARTNERS GROUP,1005530298,135369535,41894585,beps,10/08/2021,10/07/2022,3900.357831,1,3900.357831,N/A,3900.357831,,,,False,,True,False
XERO LIMITED,1004936350,136280525,41894585,beps,03/31/2022,03/30/2023,9116.979173,1,9116.979173,N/A,9116.979173,,,,False,,True,False
