Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
ACCRU FELSERS SYDNEY,1004638420,135704051,30112044,beps,12/20/2021,12/19/2022,12239.0311,1,12239.0311,N/A,12239.0311,,,,False,,True,False
ACCRU FELSERS SYDNEY,1004638420,136870511,41894585,beps,08/21/2022,08/20/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,False,,True,False
ARNOTTS BISCUIT LTD,1004345813,136532526,41894585,beps,05/23/2022,05/22/2023,4128.819158,1,4128.819158,N/A,4128.819158,,,,True,True,,
ATLASSIAN PTY LTD,1004904195,136748435,41894585,beps,06/08/2022,06/07/2023,23806.62,1,23806.62,N/A,23806.62,,,,True,True,,
BENBOW & PIKE,1004154110,136353706,41894585,beps,05/22/2022,05/21/2023,3721.442334,1,3721.442334,N/A,3721.442334,,,,True,True,,
BRAMBLES LIMITED,1004227059,136936609,30112044,beps,09/02/2022,09/01/2023,17413.55629,1,17413.55629,N/A,17413.55629,,,,False,,True,False
CARLTON UNITED BREWERIES,1004141738,133879605,41894585,beps,01/01/2021,12/31/2021,,1,,N/A,,,,,False,,True,False
CHARTS PARTNERS,1004169728,135872145,41894585,beps,01/22/2022,01/21/2023,1852.091935,1,1852.091935,N/A,1852.091935,,,,False,,True,False
CIMIC GROUP LTD,1005195190,135690361,41894585,beps,12/18/2021,12/17/2022,2709.207267,1,2709.207267,N/A,2709.207267,,,,False,,True,False
FIBRISOL SERVICE AUSTRALIA PTY LTD,1005030962,135380177,41894585,beps,10/15/2021,10/14/2022,4186.622626,1,4186.622626,N/A,4186.622626,,,,False,,True,False
FLSMIDTH PTY LTD,1004141836,135539854,41894585,beps,11/24/2021,11/23/2022,2817.575007,1,2817.575007,N/A,2817.575007,,,,False,,True,False
FORD MOTOR COMPANY OF AUSTRALIA LTD,1005031439,135387709,41894585,beps,10/16/2021,10/15/2022,3687.792458,1,3687.792458,N/A,3687.792458,,,,False,,True,False
FOXTEL MANAGEMENT PTY LIMITED,1004344816,136914727,41894585,beps,08/31/2022,08/30/2023,8559.317369,1,8559.317369,N/A,8559.317369,,,,False,,True,False
FRASERS PROPERTY AUSTRALIA PTY,1005255796,136361741,41894585,beps,05/27/2022,05/26/2023,5573.231489,1,5573.231489,N/A,5573.231489,,,,True,True,,
GRAEME GREEN,1004158148,136096121,41894585,beps,02/11/2022,02/10/2023,5505.09221,1,5505.09221,N/A,5505.09221,,,,False,,True,False
GRANT THORNTON AUSTRALIA LTD,1004194203,135135518,41894585,beps,08/15/2021,08/14/2022,,1,,N/A,,,,,False,,True,False
GREENWOODS & HERBERT SMITH,1004241509,136007341,41894585,beps,02/26/2022,02/25/2023,4644.35728,1,4644.35728,N/A,4644.35728,,,,False,,True,False
HALL CHADWICK NSW PTY LTD,1004038472,135503441,41894585,beps,11/13/2021,11/12/2022,4025.110102,1,4025.110102,N/A,4025.110102,,,,False,,True,False
HANSON AUSTRALIA (HOLDINGS) PTY LTD,1004156550,134540188,41894585,beps,07/01/2021,06/30/2022,,1,,N/A,,,,,False,,True,False
HLB MANN JUDD (NSW) PTY LTD,1004140053,135374214,41894585,beps,10/09/2021,10/08/2022,3870.300028,1,3870.300028,N/A,3870.300028,,,,False,,True,False
HOERBIGER AUSTRALIA PTY LTD,1005281289,135778914,41894585,beps,01/01/2022,12/31/2022,2709.207267,1,2709.207267,N/A,2709.207267,,,,False,,True,False
INGHAMS ENTERPRISES PTY LTD,1004192913,136459973,41894585,beps,06/18/2022,06/17/2023,4644.35728,1,4644.35728,N/A,4644.35728,,,,True,True,,
JIRSCH REILLY TANG PTY LTD,1004189491,135513426,41894585,beps,11/20/2021,11/19/2022,3622.605285,1,3622.605285,N/A,3622.605285,,,,False,,True,False
JOHN SWIRE & SONS (AUSTRALIA),1005032001,135436849,41894585,beps,10/30/2021,10/29/2022,3622.605285,1,3622.605285,N/A,3622.605285,,,,False,,True,False
KERRY HOLDINGS (AUSTRALIA) PTY LTD,1004184547,135320429,41894585,beps,09/28/2021,09/27/2022,3721.442334,1,3721.442334,N/A,3721.442334,,,,False,,True,False
KYOCERA CORPORATION,1004897913,128802434,41885282,beps,02/01/2021,01/31/2022,,1,,N/A,,,,,False,,True,False
LATITUDE FINANCIAL SERVICES,1004775175,136827920,41894585,beps,09/01/2022,08/31/2023,5582.163501,1,5582.163501,N/A,5582.163501,,,,False,,True,False
MACQUARIE GROUP SERVICES AUSTRALIA,1005660670,135656411,41894585,beps,09/24/2021,09/23/2022,10322.04789,1,10322.04789,N/A,10322.04789,,,,False,,True,False
MAZARS ADMINISTRATION QLD PTY LTD,1004175634,135374282,41894585,beps,10/11/2021,10/10/2022,3870.300028,1,3870.300028,N/A,3870.300028,,,,False,,True,False
MAZARS MELBOURNE,1005384642,135062367,41894585,beps,07/30/2021,07/29/2022,,1,,N/A,,,,,False,,True,False
MONROE AUSTRALIA PTY LIMITED,1004176806,137064056,41894585,beps,10/04/2022,10/03/2023,4018.669144,1,4018.669144,N/A,4018.669144,,,,False,,True,False
