Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
ACCRU FELSERS SYDNEY,1004638420,136870511,41894585,beps,08/21/2022,08/20/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,False,,False,False
ARNOTTS BISCUIT LTD,1004345813,260922202,41894585,beps,05/23/2023,05/22/2024,4293.971924,1,4293.971924,N/A,4293.971924,,,,True,False,False,False
ATLASSIAN PTY LTD,1004904195,261301520,41894585,beps,06/07/2023,06/06/2024,25663.54,1,25663.54,N/A,25663.54,,,,True,False,False,False
BENBOW & PIKE,1004154110,261080760,41894585,beps,05/22/2023,05/21/2024,3981.943298,1,3981.943298,N/A,3981.943298,,,,True,False,False,False
BRITISH AMERICAN TOBACCO AUSTRALIA,1004145371,260688928,41894585,beps,10/24/2022,10/23/2023,5505.09221,1,5505.09221,N/A,5505.09221,,,,False,,False,False
CHARTS PARTNERS,1004169728,260560760,41894585,beps,01/22/2023,01/21/2024,1981.736857,1,1981.736857,N/A,1981.736857,,True,,False,,False,False
CIMIC ADMIN SERVICES PTY LTD,1005195190,260309141,41894585,beps,12/18/2022,12/17/2023,2817.575007,1,2817.575007,N/A,2817.575007,True,,,False,,False,False
FIBRISOL SERVICE AUSTRALIA PTY LTD,1005030962,260136174,41894585,beps,10/15/2022,10/14/2023,4354.087531,1,4354.087531,N/A,4354.087531,,,,False,,False,False
FLSMIDTH PTY LTD,1004141836,260137335,41894585,beps,11/24/2022,11/23/2023,2930.278007,1,2930.278007,N/A,2930.278007,,,,False,,False,False
FORD MOTOR COMPANY OF AUSTRALIA LTD,1005031439,260000988,41894585,beps,10/16/2022,10/15/2023,3761.546931,1,3761.546931,N/A,3761.546931,,,,False,,False,False
FOXTEL MANAGEMENT PTY LIMITED,1004344816,136914727,41894585,beps,08/31/2022,08/30/2023,8559.317369,1,8559.317369,N/A,8559.317369,,,,False,,False,False
FRASERS PROPERTY AUSTRALIA PTY,1005255796,261080755,41894585,beps,05/27/2023,05/26/2024,5963.35673,1,5963.35673,N/A,5963.35673,,,,True,False,False,False
GRAEME GREEN,1004158148,260658052,41894585,beps,02/11/2023,02/10/2024,5890.448665,1,5890.448665,N/A,5890.448665,,,True,False,,False,False
GRANT THORNTON AUSTRALIA LTD,1004194203,136854532,41894585,beps,08/15/2022,08/14/2023,8452.731902,1,8452.731902,N/A,8452.731902,,,,False,,False,False
HALL CHADWICK NSW PTY LTD,1004038472,260136983,41894585,beps,11/13/2022,11/12/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,False,,False,False
HLB MANN JUDD (NSW) PTY LTD,1004140053,137070983,41894585,beps,10/09/2022,10/08/2023,4025.110102,1,4025.110102,N/A,4025.110102,,,,False,,False,False
HOERBIGER AUSTRALIA PTY LTD,1005281289,260173393,41894585,beps,01/01/2023,12/31/2023,2817.575007,1,2817.575007,N/A,2817.575007,,True,,False,,False,False
JIRSCH REILLY TANG PTY LTD,1004189491,260136540,41894585,beps,11/20/2022,11/19/2023,3767.506193,1,3767.506193,N/A,3767.506193,,,,False,,False,False
JOHN SWIRE & SONS (AUSTRALIA),1005032001,260137446,41894585,beps,10/30/2022,10/29/2023,3767.506193,1,3767.506193,N/A,3767.506193,,,,False,,False,False
KELLY PARTNERS,1005805232,260917187,41894585,beps,03/06/2023,03/05/2024,3303.055326,1,3303.055326,N/A,3303.055326,,,,False,,False,False
KERRY HOLDINGS (AUSTRALIA) PTY LTD,1004184547,137023607,41894585,beps,09/28/2022,09/27/2023,3870.300028,1,3870.300028,N/A,3870.300028,,,,False,,False,False
LATITUDE FINANCIAL SERVICES,1004775175,136827920,41894585,beps,09/01/2022,08/31/2023,5582.163501,1,5582.163501,N/A,5582.163501,,,,False,,False,False
MACQUARIE GROUP SERVICES AUSTRALIA,1005660670,136936054,41894585,beps,09/24/2022,09/23/2023,10734.92981,1,10734.92981,N/A,10734.92981,,,,False,,False,False
MAZARS ADMINISTRATION QLD PTY LTD,1004175634,137081111,41894585,beps,10/11/2022,10/10/2023,4025.110102,1,4025.110102,N/A,4025.110102,,,,False,,False,False
MAZARS MELBOURNE,1005384642,136786149,41894585,beps,07/30/2022,07/29/2023,5172.804844,1,5172.804844,N/A,5172.804844,,,,False,,False,False
MONROE AUSTRALIA PTY LIMITED,1004176806,137064056,41894585,beps,10/04/2022,10/03/2023,4018.669144,1,4018.669144,N/A,4018.669144,,,,False,,False,False
MOORE AUSTRALIA,1004167157,260193735,41894585,beps,11/22/2022,11/21/2023,3559.895403,1,3559.895403,N/A,3559.895403,,,,False,,False,False
MORRIS COHEN GLEN & CO,1004166029,260898659,41894585,beps,02/28/2023,02/27/2024,4777.546105,1,4777.546105,N/A,4777.546105,,,True,False,,False,False
MUNICH HOLDINGS OF AUSTRALASIA PTY,1004036867,136970346,41894585,beps,09/12/2022,09/11/2023,5232.645197,1,5232.645197,N/A,5232.645197,,,,False,,False,False
NEXIA SYDNEY,1005028964,260136175,41894585,beps,10/18/2022,10/17/2023,4186.113405,1,4186.113405,N/A,4186.113405,,,,False,,False,False
PETER ZHU & ASSOCIATES,1004174534,136816258,41894585,beps,08/01/2022,07/31/2023,4830.133498,1,4830.133498,N/A,4830.133498,,,,False,,False,False
PKF MELBOURNE,1004135088,261080795,41894585,beps,06/04/2023,06/03/2024,5168.242499,1,5168.242499,N/A,5168.242499,,,,True,False,False,False
PROSPERITY PERSONAL & CORPORATE,1004195302,260705944,41894585,beps,01/09/2023,01/08/2024,3979.287091,1,3979.287091,N/A,3979.287091,,True,,False,,False,False
RABOBANK AUSTRALIA LIMITED,1004164548,136827915,41894585,beps,09/15/2022,09/14/2023,3578.309937,1,3578.309937,N/A,3578.309937,,,,False,,False,False
RICEGROWERS LIMITED,1004181765,261155113,41894585,beps,06/28/2023,06/27/2024,20917.60253,1,20917.60253,N/A,20917.60253,,,,True,False,False,False
SAGE ADVISING PTY LTD,1005219989,136944442,41894585,beps,09/04/2022,09/03/2023,2232.8654,1,2232.8654,N/A,2232.8654,,,,False,,False,False
SHAW AND PARTNERS LTD,1005427580,136780000,41894585,beps,07/28/2022,07/27/2023,4093.586568,1,4093.586568,N/A,4093.586568,,,,False,,False,False
STEWART BROWN,1004283294,260711339,41894585,beps,02/09/2023,02/08/2024,3216.866226,1,3216.866226,N/A,3216.866226,,,True,False,,False,False
SYMBION PTY LTD,1004185447,260193881,41894585,beps,09/29/2022,09/28/2023,3440.682631,1,3440.682631,N/A,3440.682631,,,,False,,False,False
TRANSFER PRICING SOLUTIONS PTY LTD,1004921436,260173889,41894585,beps,12/17/2022,12/16/2023,5023.341591,1,5023.341591,N/A,5023.341591,True,,,False,,False,False
WECONNECT BUSINESS ADVISORY PTY LTD,1005572632,260627657,41894585,beps,02/19/2023,02/18/2024,334.9298101,1,334.9298101,N/A,334.9298101,,,True,False,,False,False
WILLIS PARTNERS,1005701392,260757101,41894585,beps,03/09/2023,03/08/2024,3534.269199,1,3534.269199,N/A,3534.269199,,,,False,,False,False
WIS PARTNERS GROUP,1005530298,137071266,41894585,beps,10/08/2022,10/07/2023,4056.372144,1,4056.372144,N/A,4056.372144,,,,False,,False,False
WJ ACCOUNTING & BUSINESS ADVISORS,1005320512,260908884,41894585,beps,03/22/2023,03/21/2024,2504.816956,1,2504.816956,N/A,2504.816956,,,,False,,False,False
XERO LIMITED,1004936350,260821840,41894585,beps,03/31/2023,03/30/2024,9755.167716,1,9755.167716,N/A,9755.167716,,,,False,,False,False
