Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
JIRSCH REILLY TANG PTY LTD,1004189491.0,,41894585,beps,11/20/2023,11/19/2024,3997.0,1,3997.0,N/A,3997.0,,True,,True,True,True,False
JOHN SWIRE & SONS (AUSTRALIA),1005032001.0,,41894585,beps,10/30/2023,10/29/2024,3997.0,1,3997.0,N/A,3997.0,,True,,True,True,True,False
KELLY PARTNERS,1005805232.0,,41894585,beps,03/06/2023,03/05/2024,3275.0,1,3275.0,N/A,3275.0,,,,False,,True,False
KERRY HOLDINGS (AUSTRALIA) PTY LTD,1004184547.0,,41894585,beps,09/28/2023,09/27/2024,4106.0,1,4106.0,N/A,4106.0,,,,False,,True,False
LATITUDE FINANCIAL SERVICES,1004775175.0,,41894585,beps,09/01/2023,08/31/2024,5923.0,1,5923.0,N/A,5923.0,,,,False,,True,False
MACQUARIE GROUP SERVICES AUSTRALIA,1005660670.0,,41894585,beps,09/24/2023,09/23/2024,11070.0,1,11070.0,N/A,11070.0,,,,False,,True,False
MAZARS ADMINISTRATION QLD PTY LTD,1004175634.0,,41894585,beps,10/11/2023,10/10/2023,4271.0,1,4271.0,N/A,4271.0,,,,True,True,True,False
MAZARS MELBOURNE,1005384642.0,,41894585,beps,07/30/2023,07/29/2024,5488.0,1,5488.0,N/A,5488.0,,,,False,,True,False
MONROE AUSTRALIA PTY LIMITED,1004176806.0,,41894585,beps,10/04/2023,10/03/2024,4264.0,1,4264.0,N/A,4264.0,True,,,True,True,True,False
MOORE AUSTRALIA,1004167157.0,,41894585,beps,11/22/2023,11/21/2023,3777.0,1,3777.0,N/A,3777.0,,,,True,True,True,False
MORRIS COHEN GLEN & CO,1004166029.0,,41894585,beps,02/28/2023,02/27/2024,4474.0,1,4474.0,N/A,4474.0,,,,False,,True,False
MUNICH HOLDINGS OF AUSTRALASIA PTY,1004036867.0,,41894585,beps,09/12/2023,09/11/2024,5552.0,1,5552.0,N/A,5552.0,,,,False,,True,False
NEXIA SYDNEY,1005028964.0,,41894585,beps,10/18/2023,10/17/2024,4441.0,1,4441.0,N/A,4441.0,True,,,True,True,True,False
ORICA AUSTRALIA PTY LTD,1004140330.0,,41894585,beps,07/01/2023,06/30/2024,42682.0,1,42682.0,N/A,42682.0,,,,False,,True,False
PETER ZHU & ASSOCIATES,1004174534.0,,41894585,beps,08/01/2023,07/31/2024,5125.0,1,5125.0,N/A,5125.0,,,,False,,True,False
PKF MELBOURNE,1004135088.0,,41894585,beps,06/04/2023,06/03/2024,5125.0,1,5125.0,N/A,5125.0,,,,False,,True,False
PROSPERITY PERSONAL & CORPORATE,1004195302.0,,41894585,beps,01/09/2023,01/08/2024,3946.0,1,3946.0,N/A,3946.0,,,,False,,True,False
RABOBANK AUSTRALIA LIMITED,1004164548.0,,41894585,beps,09/15/2023,11/17/2023,3690.0,1,3690.0,N/A,3690.0,,,,False,,True,False
RICEGROWERS LIMITED,1004181765.0,,41894585,beps,06/28/2023,06/27/2024,20742.0,1,20742.0,N/A,20742.0,,,,False,,True,False
SAGE ADVISING PTY LTD,1005219989.0,,41894585,beps,09/04/2023,09/03/2023,2369.0,1,2369.0,N/A,2369.0,,,,False,,True,False
SHAW AND PARTNERS LTD,1005427580.0,,41894585,beps,07/28/2023,07/27/2024,4343.0,1,4343.0,N/A,4343.0,,,,False,,True,False
STEWART BROWN,1004283294.0,,41894585,beps,02/09/2023,02/08/2024,3190.0,1,3190.0,N/A,3190.0,,,,False,,True,False
SYMBION PTY LTD,1004185447.0,,41894585,beps,09/29/2023,09/28/2024,3651.0,1,3651.0,N/A,3651.0,,,,False,,True,False
TRANSFER PRICING SOLUTIONS PTY LTD,1004921436.0,,41894585,beps,12/17/2023,12/16/2024,5330.0,1,5330.0,N/A,5330.0,,,True,True,True,True,False
VENTIA PTY LTD,1004878319.0,,41894585,beps,07/18/2023,07/17/2024,4094.0,1,4094.0,N/A,4094.0,,,,False,,True,False
WECONNECT BUSINESS ADVISORY PTY LTD,1005572632.0,,41894585,beps,02/19/2023,02/18/2024,332.0,1,332.0,N/A,332.0,,,,False,,True,False
WILLIS PARTNERS PTY LTD,1005701392.0,,41894585,beps,03/09/2023,03/08/2024,3505.0,1,3505.0,N/A,3505.0,,,,False,,True,False
WIS PARTNERS GROUP,1005530298.0,,41894585,beps,10/08/2023,10/07/2024,4304.0,1,4304.0,N/A,4304.0,True,,,True,True,True,False
WJ ACCOUNTING & BUSINESS ADVISORS,1005320512.0,,41894585,beps,03/22/2023,03/21/2024,2484.0,1,2484.0,N/A,2484.0,,,,False,,True,False
XERO LIMITED,1004936350.0,,41894585,beps,03/31/2023,03/30/2024,9520.0,1,9520.0,N/A,9520.0,,,,False,,True,False
