Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal
ACCRU FELSERS SYDNEY,1004638420.0,,41894585,beps,08/21/2023,08/20/2024,4441.0,1,4441.0,N/A,4441.0,,,,False,,True,False
ARNOTTS BISCUIT LTD,1004345813.0,,41894585,beps,05/23/2023,05/22/2024,4258.0,1,4258.0,N/A,4258.0,,,,False,,True,False
ATLASSIAN PTY LTD,1004904195.0,,41894585,beps,06/07/2023,06/06/2024,25664.0,1,25664.0,N/A,25664.0,,,,False,,True,False
BENBOW & PIKE,1004154110.0,,41894585,beps,05/22/2023,05/21/2024,3948.0,1,3948.0,N/A,3948.0,,,,False,,True,False
BLACQUA PTE LTD,1005683838.0,,41894585,beps,07/04/2023,07/03/2024,5262.0,1,5262.0,N/A,5262.0,,,,False,,True,False
BRITISH AMERICAN TOBACCO AUSTRALIA,1004145371.0,,41894585,beps,10/24/2023,10/23/2024,5841.0,1,5841.0,N/A,5841.0,True,,,True,True,True,False
BYRONS,1004625160.0,New in Q4'23,41894585,beps,11/22/2023,11/21/2024,4283.0,1,4283.0,N/A,4283.0,,True,,True,True,True,False
CHARTS PARTNERS,1004169728.0,,41894585,beps,01/22/2023,01/21/2024,1965.0,1,1965.0,N/A,1965.0,,,,False,,True,False
CIMIC ADMIN SERVICES PTY LTD,1005195190.0,,41894585,beps,12/18/2023,12/17/2024,2484.0,1,2484.0,N/A,2484.0,,,True,True,True,True,False
FIBRISOL SERVICE AUSTRALIA PTY LTD,1005030962.0,,41894585,beps,10/15/2023,10/14/2024,4620.0,1,4620.0,N/A,4620.0,True,,,True,True,True,False
FLSMIDTH PTY LTD,1004141836.0,,41894585,beps,11/24/2023,11/23/2024,3109.0,1,3109.0,N/A,3109.0,,True,,True,True,True,False
FORD MOTOR COMPANY OF AUSTRALIA LTD,1005031439.0,,41894585,beps,10/16/2023,10/15/2024,3805.0,1,3805.0,N/A,3805.0,True,,,True,True,True,False
FOXTEL MANAGEMENT PTY LIMITED,1004344816.0,,41894585,beps,08/31/2023,11/09/2023,9081.0,1,9081.0,N/A,9081.0,,,,False,,True,False
FRASERS PROPERTY AUSTRALIA PTY,1005255796.0,,41894585,beps,05/27/2023,05/26/2024,5913.0,1,5913.0,N/A,5913.0,,,,False,,True,False
GRAEME GREEN,1004158148.0,,41894585,beps,02/11/2023,02/10/2024,5841.0,1,5841.0,N/A,5841.0,,,,False,,True,False
GRANT THORNTON AUSTRALIA LTD,1004194203.0,,41894585,beps,08/15/2023,08/14/2024,8968.0,1,8968.0,N/A,8968.0,,,,False,,True,False
HALL CHADWICK NSW PTY LTD,1004038472.0,,41894585,beps,11/13/2023,11/12/2024,4441.0,1,4441.0,N/A,4441.0,,True,,True,True,True,False
HANSON AUSTRALIA (HOLDINGS) PTY LTD,1004156550.0,,41894585,beps,07/01/2023,06/30/2024,3791.0,1,3791.0,N/A,3791.0,,,,False,,True,False
HLB MANN JUDD (NSW) PTY LTD,1004140053.0,,41894585,beps,10/09/2023,10/08/2024,4271.0,1,4271.0,N/A,4271.0,True,,,True,True,True,False
HOERBIGER AUSTRALIA PTY LTD,1005281289.0,,41894585,beps,01/01/2023,12/31/2023,2794.0,1,2794.0,N/A,2794.0,,,,False,,True,False
